via,group-title,tvg_id,tvg_logo,name,url
luongz.jp,Osaka,sun_tv,https://upload.wikimedia.org/wikipedia/commons/b/b9/SUN-TV_wordmark_2019.png,SUN TV,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=gx07
luongz.jp,BS,nhk_bs,https://upload.wikimedia.org/wikipedia/commons/6/6c/NHK_BS.png,NHK BS,https://vnpt.nekocdn.xyz/9ca1151d-7a96-4c1a-9672-8853124bba85.m3u8
luongz.jp,BS,bs11,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/BS11_logo.svg/2560px-BS11_logo.svg.pngion_logo_%28rainbow%29.svg.png,BS11,https://vnpt.nekocdn.xyz/11644528-009c-47e3-a444-16da17f3f88f.m3u8
luongz.jp,BS,animax,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Animax.svg/1920px-Animax.svg.png,Animax,https://vnpt.nekocdn.xyz/68ea67df-d4e1-44cb-bdb9-179dd01b7db4.m3u8
luongz.jp,BS,wowow_prime,https://corporate.wowow.co.jp/recruit/assets/img/logo-wowow_prime.png,WOWOW Prime (nekocdn),https://vnpt.nekocdn.xyz/c7f9407a-6fcb-46e2-a649-98c15ffe0a6e.m3u8
luongz.jp,BS,nhk_bs,https://upload.wikimedia.org/wikipedia/commons/6/6c/NHK_BS.png,NHK BS,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs11
luongz.jp,BS,nhk_bsp4k,https://upload.wikimedia.org/wikipedia/commons/7/77/NHK_BSP4K.png,NHK BSP 4K,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs01
luongz.jp,BS,bs_ntv,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/BS4_logo.svg/1200px-BS4_logo.svg.png,BS NTV,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs02
luongz.jp,BS,bs_asahi,https://www.lyngsat.com/logo/tv/bb/bs_asahi.png,BS Asahi  ,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs03
luongz.jp,BS,bs_tbs,https://www.lyngsat.com/logo/tv/bb/bs-tbs-jp.png,BS TBS,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs04
luongz.jp,BS,bs_tvtokyo,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/BS_TV_Tokyo_%28Japanese%29_2023.svg/2560px-BS_TV_Tokyo_%28Japanese%29_2023.svg.png,BS TV Tokyo,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs05
luongz.jp,BS,bs_fuji,https://www.bsfuji.tv/top/index/img/sns_img.png,BS Fuji HD,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs06
luongz.jp,BS,wowow_prime,https://corporate.wowow.co.jp/recruit/assets/img/logo-wowow_prime.png,WOWOW Prime ,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs12
luongz.jp,BS,wowow_live,https://corporate.wowow.co.jp/recruit/assets/img/logo-wowow_live.png,WOWOW Live  ,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs20
luongz.jp,BS,wowow_cinema,https://corporate.wowow.co.jp/recruit/assets/img/logo-wowow_cinema.png,WOWOW Cinema,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs07
luongz.jp,BS,star_channel,https://www.lyngsat-logo.com/logo/tv/ss/star_channel_jp_1.png,Star Channel 1  ,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs08
luongz.jp,BS,animax,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Animax.svg/1200px-Animax.svg.png,BS Animax  ,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs15
luongz.jp,BS,js1,https://www.jsports.co.jp/img/icon/ch1.png,J SPORTS 1,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs18
luongz.jp,BS,js2,https://www.jsports.co.jp/img/icon/ch2.png,J SPORTS 2  ,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs19
luongz.jp,BS,js3,https://www.jsports.co.jp/img/icon/ch3.png,J SPORTS 3 ,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs21
luongz.jp,BS,js4,https://www.jsports.co.jp/img/icon/ch4.png,J SPORTS 4,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs22
luongz.jp,BS,green_channel,https://www.lyngsat.com/logo/tv/gg/green_channel_jp.png,Green Channel,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs14
luongz.jp,BS,nihon_eiga,https://www.starcat.co.jp/ch/upload/channel/3/nihon-eiga_logo.jpg,,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs23
luongz.jp,BS,disney_ch,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/2019_Disney_Channel_logo.svg/250px-2019_Disney_Channel_logo.svg.png,Disney Channel,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs24
